date,station,cargo_tons,wagons_required,station_congestion
2025-01-01,Kapiri Mposhi,1165,23,0.25
2025-01-01,Serenje,1402,27,0.58
2025-01-01,Mpika,1948,38,0.46
2025-01-01,Nakonde,1545,30,0.15
2025-01-01,Tunduma,2447,48,0.37
2025-01-01,Mbeya,432,8,0.12
2025-01-01,Makambako,1074,21,0.68
2025-01-01,Morogoro,1522,30,0.89
2025-01-01,Dar es Salaam,1491,29,0.34
2025-01-02,Kapiri Mposhi,324,6,0.11
2025-01-02,Serenje,781,15,0.59
2025-01-02,Mpika,2371,46,0.33
2025-01-02,Nakonde,1288,25,0.29
2025-01-02,Tunduma,870,17,0.41
2025-01-02,Mbeya,1583,31,0.57
2025-01-02,Makambako,955,18,0.24
2025-01-02,Morogoro,1613,31,0.86
2025-01-02,Dar es Salaam,2385,47,0.75
2025-01-03,Kapiri Mposhi,1688,33,0.29
2025-01-03,Serenje,1805,35,0.59
2025-01-03,Mpika,1091,21,0.13
2025-01-03,Nakonde,2289,45,0.25
2025-01-03,Tunduma,1341,26,0.52
2025-01-03,Mbeya,1451,28,0.55
2025-01-03,Makambako,1827,36,0.88
2025-01-03,Morogoro,1908,37,0.85
2025-01-03,Dar es Salaam,2316,45,0.84
2025-01-04,Kapiri Mposhi,1138,22,0.36
2025-01-04,Serenje,1607,31,0.14
2025-01-04,Mpika,650,12,0.53
2025-01-04,Nakonde,1113,21,0.39
2025-01-04,Tunduma,1084,21,0.59
2025-01-04,Mbeya,808,15,0.21
2025-01-04,Makambako,2410,47,0.23
2025-01-04,Morogoro,1701,33,0.42
2025-01-04,Dar es Salaam,1832,35,0.11
2025-01-05,Kapiri Mposhi,1868,36,0.67
2025-01-05,Serenje,2049,39,0.73
2025-01-05,Mpika,695,13,0.16
2025-01-05,Nakonde,2449,47,0.83
2025-01-05,Tunduma,512,10,0.6
2025-01-05,Mbeya,822,16,0.35
2025-01-05,Makambako,2103,41,0.63
2025-01-05,Morogoro,2251,43,0.32
2025-01-05,Dar es Salaam,1918,37,0.48
2025-01-06,Kapiri Mposhi,1840,35,0.78
2025-01-06,Serenje,1369,26,0.55
2025-01-06,Mpika,718,13,0.5
2025-01-06,Nakonde,713,13,0.67
2025-01-06,Tunduma,2248,43,0.12
2025-01-06,Mbeya,1839,35,0.26
2025-01-06,Makambako,1198,23,0.61
2025-01-06,Morogoro,889,17,0.55
2025-01-06,Dar es Salaam,2291,44,0.83
2025-01-07,Kapiri Mposhi,2049,39,0.7
2025-01-07,Serenje,1408,27,0.85
2025-01-07,Mpika,2094,40,0.66
2025-01-07,Nakonde,2195,42,0.84
2025-01-07,Tunduma,1965,37,0.61
2025-01-07,Mbeya,1134,21,0.74
2025-01-07,Makambako,1722,33,0.81
2025-01-07,Morogoro,1713,33,0.36
2025-01-07,Dar es Salaam,2422,46,0.82
2025-01-08,Kapiri Mposhi,1778,34,0.28
2025-01-08,Serenje,1324,25,0.79
2025-01-08,Mpika,1050,20,0.51
2025-01-08,Nakonde,987,18,0.49
2025-01-08,Tunduma,1621,31,0.37
2025-01-08,Mbeya,2392,45,0.23
2025-01-08,Makambako,2010,38,0.55
2025-01-08,Morogoro,1495,28,0.15
2025-01-08,Dar es Salaam,898,17,0.3
2025-01-09,Kapiri Mposhi,2025,38,0.33
2025-01-09,Serenje,1044,19,0.59
2025-01-09,Mpika,984,18,0.43
2025-01-09,Nakonde,1207,23,0.32
2025-01-09,Tunduma,2051,39,0.22
2025-01-09,Mbeya,2099,40,0.46
2025-01-09,Makambako,2127,40,0.29
2025-01-09,Morogoro,1187,22,0.16
2025-01-09,Dar es Salaam,441,8,0.29
2025-01-10,Kapiri Mposhi,623,11,0.39
2025-01-10,Serenje,522,9,0.42
2025-01-10,Mpika,2619,49,0.77
2025-01-10,Nakonde,1521,28,0.51
2025-01-10,Tunduma,2201,41,0.57
2025-01-10,Mbeya,2370,45,0.11
2025-01-10,Makambako,2403,45,0.75
2025-01-10,Morogoro,2138,40,0.24
2025-01-10,Dar es Salaam,2375,45,0.41
2025-01-11,Kapiri Mposhi,993,18,0.64
2025-01-11,Serenje,2397,45,0.84
2025-01-11,Mpika,2043,38,0.28
2025-01-11,Nakonde,2631,49,0.75
2025-01-11,Tunduma,1390,26,0.51
2025-01-11,Mbeya,1246,23,0.29
2025-01-11,Makambako,1718,32,0.87
2025-01-11,Morogoro,794,15,0.82
2025-01-11,Dar es Salaam,2489,47,0.32
2025-01-12,Kapiri Mposhi,2103,39,0.68
2025-01-12,Serenje,1543,29,0.79
2025-01-12,Mpika,2548,48,0.72
2025-01-12,Nakonde,984,18,0.17
2025-01-12,Tunduma,1850,34,0.82
2025-01-12,Mbeya,587,11,0.11
2025-01-12,Makambako,1906,35,0.63
2025-01-12,Morogoro,2318,43,0.33
2025-01-12,Dar es Salaam,1249,23,0.54
2025-01-13,Kapiri Mposhi,1339,25,0.28
2025-01-13,Serenje,490,9,0.11
2025-01-13,Mpika,743,13,0.36
2025-01-13,Nakonde,1948,36,0.62
2025-01-13,Tunduma,1555,29,0.68
2025-01-13,Mbeya,1001,18,0.55
2025-01-13,Makambako,809,15,0.51
2025-01-13,Morogoro,820,15,0.31
2025-01-13,Dar es Salaam,2125,39,0.88
2025-01-14,Kapiri Mposhi,923,17,0.81
2025-01-14,Serenje,2543,47,0.74
2025-01-14,Mpika,1175,21,0.62
2025-01-14,Nakonde,1349,25,0.79
2025-01-14,Tunduma,1194,22,0.32
2025-01-14,Mbeya,906,16,0.71
2025-01-14,Makambako,338,6,0.9
2025-01-14,Morogoro,1467,27,0.83
2025-01-14,Dar es Salaam,2621,48,0.7
2025-01-15,Kapiri Mposhi,1464,27,0.84
2025-01-15,Serenje,647,12,0.87
2025-01-15,Mpika,1075,19,0.78
2025-01-15,Nakonde,527,9,0.34
2025-01-15,Tunduma,2482,46,0.31
2025-01-15,Mbeya,459,8,0.4
2025-01-15,Makambako,2215,41,0.78
2025-01-15,Morogoro,1772,32,0.56
2025-01-15,Dar es Salaam,995,18,0.59
2025-01-16,Kapiri Mposhi,2148,39,0.21
2025-01-16,Serenje,491,9,0.34
2025-01-16,Mpika,1172,21,0.78
2025-01-16,Nakonde,589,10,0.39
2025-01-16,Tunduma,1946,36,0.34
2025-01-16,Mbeya,905,16,0.75
2025-01-16,Makambako,1319,24,0.59
2025-01-16,Morogoro,1978,36,0.1
2025-01-16,Dar es Salaam,362,6,0.74
2025-01-17,Kapiri Mposhi,759,13,0.14
2025-01-17,Serenje,2396,44,0.37
2025-01-17,Mpika,1537,28,0.56
2025-01-17,Nakonde,2306,42,0.56
