date,available_wagons
2025-01-01,741
2025-01-02,730
2025-01-03,737
2025-01-04,877
2025-01-05,689
2025-01-06,783
2025-01-07,790
2025-01-08,766
2025-01-09,812
2025-01-10,840
2025-01-11,721
2025-01-12,731
2025-01-13,724
2025-01-14,745
2025-01-15,817
2025-01-16,820
2025-01-17,756
2025-01-18,790
2025-01-19,779
2025-01-20,762
2025-01-21,676
2025-01-22,778
2025-01-23,758
2025-01-24,900
2025-01-25,717
2025-01-26,828
2025-01-27,745
2025-01-28,840
2025-01-29,768
2025-01-30,716
2025-01-31,807
2025-02-01,813
2025-02-02,739
2025-02-03,708
2025-02-04,794
2025-02-05,675
2025-02-06,885
2025-02-07,804
2025-02-08,887
2025-02-09,822
2025-02-10,735
2025-02-11,889
2025-02-12,823
2025-02-13,762
2025-02-14,742
2025-02-15,801
2025-02-16,814
2025-02-17,696
2025-02-18,822
2025-02-19,756
2025-02-20,803
2025-02-21,704
2025-02-22,800
2025-02-23,771
2025-02-24,698
2025-02-25,688
2025-02-26,710
2025-02-27,871
2025-02-28,877
2025-03-01,698
2025-03-02,862
2025-03-03,769
2025-03-04,729
2025-03-05,879
2025-03-06,882
2025-03-07,698
2025-03-08,879
2025-03-09,826
2025-03-10,856
2025-03-11,700
2025-03-12,868
2025-03-13,754
2025-03-14,840
2025-03-15,739
2025-03-16,749
2025-03-17,853
2025-03-18,837
2025-03-19,717
2025-03-20,703
2025-03-21,839
2025-03-22,755
2025-03-23,860
2025-03-24,728
2025-03-25,713
2025-03-26,716
2025-03-27,830
2025-03-28,703
2025-03-29,845
2025-03-30,805
2025-03-31,812
2025-04-01,861
2025-04-02,816
2025-04-03,878
2025-04-04,849
2025-04-05,716
2025-04-06,768
2025-04-07,834
2025-04-08,706
2025-04-09,844
2025-04-10,834
2025-04-11,700
2025-04-12,789
2025-04-13,803
2025-04-14,730
2025-04-15,796
2025-04-16,780
2025-04-17,804
2025-04-18,755
2025-04-19,832
2025-04-20,794
2025-04-21,873
2025-04-22,726
2025-04-23,765
2025-04-24,811
2025-04-25,696
2025-04-26,708
2025-04-27,784
2025-04-28,723
2025-04-29,803
2025-04-30,747
2025-05-01,758
2025-05-02,727
2025-05-03,885
2025-05-04,774
2025-05-05,798
2025-05-06,842
2025-05-07,719
2025-05-08,870
2025-05-09,811
2025-05-10,779
2025-05-11,824
2025-05-12,820
2025-05-13,878
2025-05-14,780
2025-05-15,717
2025-05-16,841
2025-05-17,875
2025-05-18,808
2025-05-19,885
2025-05-20,722
2025-05-21,800
2025-05-22,681
2025-05-23,882
2025-05-24,871
2025-05-25,690
2025-05-26,803
2025-05-27,789
2025-05-28,711
2025-05-29,885
2025-05-30,839
2025-05-31,799
2025-06-01,755
2025-06-02,866
2025-06-03,892
2025-06-04,888
2025-06-05,736
2025-06-06,746
2025-06-07,863
2025-06-08,799
2025-06-09,835
2025-06-10,740
2025-06-11,704
2025-06-12,694
2025-06-13,862
2025-06-14,756
2025-06-15,781
2025-06-16,876
2025-06-17,826
2025-06-18,806
2025-06-19,711
2025-06-20,806
2025-06-21,751
2025-06-22,763
2025-06-23,879
2025-06-24,820
2025-06-25,762
2025-06-26,868
2025-06-27,850
2025-06-28,707
2025-06-29,732
2025-06-30,885
2025-07-01,875
2025-07-02,702
2025-07-03,709
2025-07-04,799
2025-07-05,812
2025-07-06,739
2025-07-07,716
2025-07-08,759
2025-07-09,811
2025-07-10,862
2025-07-11,785
2025-07-12,689
2025-07-13,859
2025-07-14,743
2025-07-15,779
2025-07-16,824
2025-07-17,738
2025-07-18,715
2025-07-19,889
2025-07-20,745
2025-07-21,730
2025-07-22,825
2025-07-23,699
2025-07-24,893
2025-07-25,779
2025-07-26,808
2025-07-27,793
2025-07-28,836
2025-07-29,865
2025-07-30,683
2025-07-31,734
2025-08-01,799
2025-08-02,723
2025-08-03,899
2025-08-04,725
2025-08-05,862
2025-08-06,744
2025-08-07,711
2025-08-08,705
2025-08-09,900
2025-08-10,843
2025-08-11,736
2025-08-12,767
2025-08-13,860
2025-08-14,688
2025-08-15,838
2025-08-16,838
2025-08-17,753
2025-08-18,682
2025-08-19,828
2025-08-20,710
2025-08-21,722
2025-08-22,759
2025-08-23,702
2025-08-24,870
2025-08-25,864
2025-08-26,882
2025-08-27,888
2025-08-28,878
2025-08-29,882
2025-08-30,725
2025-08-31,778
2025-09-01,844
2025-09-02,775
2025-09-03,703
2025-09-04,801
2025-09-05,756
2025-09-06,684
2025-09-07,780
2025-09-08,841
2025-09-09,884
2025-09-10,675
2025-09-11,713
2025-09-12,695
2025-09-13,739
2025-09-14,689
2025-09-15,806
2025-09-16,862
2025-09-17,735
2025-09-18,822
2025-09-19,812
2025-09-20,761
2025-09-21,779
2025-09-22,708
2025-09-23,798
2025-09-24,784
2025-09-25,850
2025-09-26,707
2025-09-27,772
2025-09-28,735
2025-09-29,684
2025-09-30,856
2025-10-01,758
2025-10-02,739
2025-10-03,751
2025-10-04,675
2025-10-05,807
2025-10-06,754
2025-10-07,689
2025-10-08,702
2025-10-09,897
2025-10-10,697
2025-10-11,783
2025-10-12,781
2025-10-13,819
2025-10-14,787
2025-10-15,772
2025-10-16,815
2025-10-17,816
2025-10-18,813
2025-10-19,702
2025-10-20,716
2025-10-21,898
2025-10-22,773
2025-10-23,735
2025-10-24,797
2025-10-25,738
2025-10-26,705
2025-10-27,755
2025-10-28,875
2025-10-29,684
2025-10-30,682
2025-10-31,823
2025-11-01,879
2025-11-02,733
2025-11-03,852
2025-11-04,871
2025-11-05,872
2025-11-06,704
2025-11-07,897
2025-11-08,819
2025-11-09,877
2025-11-10,694
2025-11-11,722
2025-11-12,875
2025-11-13,804
2025-11-14,711
2025-11-15,803
2025-11-16,806
2025-11-17,774
2025-11-18,728
2025-11-19,796
2025-11-20,699
2025-11-21,805
2025-11-22,683
2025-11-23,888
2025-11-24,889
2025-11-25,878
2025-11-26,876
2025-11-27,708
2025-11-28,717
2025-11-29,748
2025-11-30,768
2025-12-01,696
2025-12-02,744
2025-12-03,804
2025-12-04,768
2025-12-05,868
2025-12-06,706
2025-12-07,780
2025-12-08,818
2025-12-09,878
2025-12-10,675
2025-12-11,746
2025-12-12,850
2025-12-13,724
2025-12-14,815
2025-12-15,689
2025-12-16,727
2025-12-17,846
2025-12-18,682
2025-12-19,748
2025-12-20,720
2025-12-21,743
2025-12-22,788
2025-12-23,821
2025-12-24,840
2025-12-25,797
2025-12-26,813
2025-12-27,791
2025-12-28,717
2025-12-29,694
2025-12-30,822
2025-12-31,695
