day,total_reward,cargo_delivered,trains_used,idle_penalty,assign_count,delay_count,skip_count
1,-3606.48,388.52,3,3995.0,2,3,0
2,-8589.14,405.86,2,8995.0,2,1,1
3,-10754.79,240.21,2,10995.0,2,1,0
4,-9592.93,392.07,3,9985.0,0,1,2
5,-9635.61,359.39,2,9995.0,1,1,1
6,-9625.85,369.15,2,9995.0,1,1,1
7,-5541.28,438.72,4,5980.0,1,1,2
8,-8660.7,334.3,2,8995.0,3,0,1
9,-3497.02,497.98,2,3995.0,2,1,2
10,-4510.73,479.27,3,4990.0,1,1,3
11,-5600.46,389.54,3,5990.0,2,0,2
12,-10619.57,370.43,2,10990.0,0,2,1
13,-7554.87,435.13,3,7990.0,1,2,1
14,-4506.7,488.3,2,4995.0,2,2,1
15,-3662.78,337.22,1,4000.0,4,1,0
16,-10749.79,240.21,2,10990.0,2,1,0
17,-4649.0,351.0,2,5000.0,1,4,0
18,-7575.55,409.45,3,7985.0,2,1,1
19,605.71,605.71,2,0.0,1,4,2
20,-3480.94,509.06,4,3990.0,1,3,1
21,-4621.59,378.41,1,5000.0,2,3,0
22,-5634.32,345.68,5,5980.0,2,3,0
23,-6564.38,430.62,2,6995.0,2,1,1
24,-10797.35,192.65,2,10990.0,1,1,0
25,-9733.76,261.24,2,9995.0,1,2,0
26,-5509.22,475.78,3,5985.0,1,1,3
27,-7554.29,440.71,2,7995.0,1,2,1
28,-1427.34,572.66,2,2000.0,0,3,3
29,584.53,584.53,4,0.0,3,3,1
30,-14756.06,238.94,1,14995.0,1,0,1
31,-1419.43,570.57,4,1990.0,2,2,2
32,-8594.54,400.46,2,8995.0,1,1,1
33,-5530.54,459.46,3,5990.0,1,1,2
34,-10639.09,355.91,2,10995.0,1,1,1
35,-8632.75,357.25,2,8990.0,1,1,1
36,-6561.76,433.24,2,6995.0,2,1,1
37,-7613.83,376.17,3,7990.0,2,0,2
38,-4549.39,445.61,3,4995.0,0,4,1
39,-6653.47,336.53,2,6990.0,3,0,1
40,-13756.06,233.94,2,13990.0,1,0,1
41,-11803.75,191.25,2,11995.0,1,1,0
42,579.53,579.53,2,0.0,3,3,1
43,-10693.8,296.2,3,10990.0,2,0,1
44,-7609.85,385.15,3,7995.0,1,1,1
45,-7545.58,449.42,2,7995.0,1,2,1
46,-8585.53,409.47,2,8995.0,0,3,1
47,-4487.04,512.96,2,5000.0,2,2,1
48,-6685.07,304.93,2,6990.0,1,3,0
49,-4588.78,411.22,1,5000.0,1,0,4
50,-10734.34,260.66,2,10995.0,1,2,0
